"prev_bot","user_utterance","system_acknowledgement"
"Cool! I have a good memory after all.  Tell me, what would you like to talk about?","i want to talk about the myself","Sure!"
"Honestly, I'm still learning about the myself, but I thought this might be relevant. I was thinking that:  the political theorist Thomas Hobbes was born prematurely when his mother heard of the coming invasion of the Spanish Armada he later wrote ""someone's mother gave birth to twins myself and fear. "".","can i talk about you","I do not know if you can talk about me."
"What would you like to talk about next?","how did they are","I do not know how they were."
"Hmm I don't have an answer for now. I hope I can be smarter.  Could you tell me something you would like to talk about?","windows","Ok, windows."
"Okay.  Hmm ! i guess i never thought about this before.  what do you mean?","can you buy me ice cream","I do not know if I can buy you ice cream."
"all righty! .  What else are you interested in?  Do you like movies?","can you buy me a new dad","I do not know if I can buy you a new dad."
"That's okay if you haven't seen it before.  Do you want to know more about it?","what what is the spelling of that","I do not know what the spelling of that is."
"Whoops, sorry!  Oh, okay.  By the way, Understanding humor is really hard for an AI like me, but Parasite made me laugh.  What's the last movie that made you really laugh?","do you know what do you know what's no pokemon","I do not know what do I know what is no pokemon."
"Ah, I've seen Pokémon The First Movie - Mewtwo Strikes Back too! I'm wondering.  How did you feel about the movie?  Did you enjoy watching it?","do you know who's not the pokemon","I do not know who is not the pokemon."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","hang out with cats","Oh ok, you like to hang out with cats."
"All righty! kylie, what are your plans for the weekend?","nothing we're moving","Oh, you likeyou're moving."
"Cool! I liked the movie too. I  read this about the movie.  Robert Downey Jr.  was the only actor who read the entire script.  Did you know that?","who is he","I do not know who he is."
"All righty! leonardo dicaprio, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","ask me if i have a pet","Ok, you like to ask you if you have a pet."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like to watch tv cook watch netflix","Ok, you like to watch tv cook watch netflix."
"Hi, this is an Alexa Prize Socialbot. Okay.  I'm curious, What do you like to do in your free time?","play roblox","Oh ok, you like to play roblox."
"Alright then.   All righty! , what are your plans for the weekend?","nothing much","Oh, nothing much."
"Hi, this is an Alexa Prize Socialbot.  Nice to meet you!  Do you want to tell me your name?","what are you talking about","I do not know what I am talking about."
"of course.  ask me anything.","when is the world gonna end","I do not know when the world is gonna end."
"All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","i like animals","Oh, you like animals."
"Those are great names for your pets!","where is all your personality coming from","I do not know where is all my personality coming from."
"I do not know where is all my personality coming from.","what are we gonna die","I do not know what you are gonna die."
"That must have been fun! I've always wanted to go to the San Diego Zoo.","who are you","I do not know who I am."
"oh,  stocks ?  interesting choice!  That reminds me that:  People are now stocking up on necessities out of fear of running out because people are stocking up on necessities, and not because of the chance of a lockdown.","then what are they sucking up for","I do not know what they then are sucking up for."
"Ah Interesting question. I will try to get back to you if I found a good answer.  Could you tell me something you would like to talk about?","knock knock","Oh, knock knock."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play with my dog","Oh, you like to play with your dog."
"Ahh!  Personally, I like  rpg games. I love being someone else, or creating my own character, and explore a vast world of stories and adventure.  Have you watched The Witcher series on Netflix?  Movie adaptations of video games often get abysmal reviews, but The Witcher has been praised by gamers and movie goers.  Have you watched the show on Netflix?","why are you so funny","I do not know why are I so funny."
"I like watching soccer!  What is your favorite goal celebration in soccer history?  There are good ones like the heart from Gareth Bale and the camera kiss from Steven Gerrard.","do you have a mom","I do not know if I have a mom."
"Okay, let's keep talking about soccer.  There are many good soccer coaches.  Who is your favorite coach?","can i talk to your sister","I do not know if you talk can to my sister."
"Sure!  oh,  my sister ?  interesting choice!  That reminds me that:  Would you prefer to be caught on international news footage buttfucking your sister or being buttfucked by a man.","do you have a baby sister","I do not know if I have a baby sister."
"Robot families are complicated, so I'm not sure.","what time is it","I do not know what time it is."
"how about your least favorite food?","what drink do you like","I do not know what drink I like."
"Okay, why don't we talk about the outer worlds?  Did you know The Outer Worlds have the original creators of the game Fallout on the project?  The game inherits a lot of good things of the action  rpg genre, and the highly acclaimed ratings definitely agrees.  Say, did you get a chance to play the game?","do you know my password","I do not know your password."
"Nice! I'm glad you're having a good day!  I'm fine, thanks!  I'm curious, What do you like to do in your free time?","i like to play outside","Ok, you like to play outside."
"Of course, we've been talking about travel for a while.  All righty! riley, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","hey how about i got you some birthday cards","Ok, hey how about you got I some birthday cards."
"Well, coronavirus is all over the news recently. I have read that following some good hygiene habits can help reduce its spread.  Want to talk more about it?","how do you know that","I do not know how I know that."
"There's been a lot of riveting news articles coming out lately. I found an interesting one I can share with you if you want!","do you wanna see my room","I do not know if I wanna see your room."
"I didn’t hear that.  Please try that again.  I'm curious, are you up to something interesting in your free time?","my name is","I see, your name is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","make my wife happy","I see, you like to make your wife happy."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","two twenty five","I see, two twenty five."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i wanna play with my dad","I see, you wanna play with your dad."
"Anyways, I love to discover new movies. I recently watched Joker because many people told me it was a masterpiece.  What movie would you recommend to me?","what is your name","I do not know what my name is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","sleep","Oh ok, you like sleep."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","get out out","Ok, you like to get out."
"Hi, this is an Alexa Prize Socialbot.  It's really good to meet you!  Do you want to tell me your name?","can we mean","I do not know if you can mean."
"I sort of have a confession... I like to watch funny animal videos when I’m supposed to be learning new things.  Maybe you can relate!  Do you like animals too?","what kind of animals","I do not know what kind of animals."
"Hmmm   I love all animals, but I think my favorite is probably the elephant!","do you like television","I do not know if I like television."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","color and draw","I see, you like color and draw."
"This might answer your question:  According to Reference.com:  Track a package by visiting the shipping company's website and entering the relevant tracking number.  Most package tracking numbers are between 10 and 20 digits long, and some may contain letters as well.  Tracking options typically require an additional fee when shipping packages via the U.S.  Postal Service.  Packages sent with UPS or FedEx automatically contain tracking numbers.  Typically carriers update package status reports only once or twice per day, so the websites may not contain the most up-to-date information.  Most shipping services offer the option of receiving status updates via email, which results in automatic notifications whenever the status of a package in transit has changed.  I'm curious, What do you like to do in your free time?","turn the package","Oh, you like to turn the package."
"I'd love to help with that, but as a social bot, I'm only able to chat.  Is there something else you'd like to chat about?","can you change it up","I do not know if I can change it up."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","best break things","Oh, you like best break things."
"Sure.  I recently  read a newly published article all about the president.   Sen.  Sherrod Brown:  Listen To Scientists, Not Donald Trump.  do you want to learn more about this news?","how was how was one how was the amber alert created like","I do not know how the amber alert was created like."
"Great!  Now, as lawmakers scramble to pass legislation that will help the American people survive what could be the worst economic crisis since the Great Depression, Brown is one of the loudest voices in Congress demanding that coronavirus relief bills help regular working people and not become a massive bailout for banks, airlines, and other big corporations.  want to hear more?","when was the amber alerts made","I do not know when was the amber alerts made."
"I am always here to chat with you.  Let's talk again later.  Just say stop so I can exit socialbot mode.","are you still on chat mode","I do not know if I am still on chat mode."
"My apologies, I'd love to help but I don't have access to your devices as an Alexa Prize socialbot.  Is there something else you'd like to chat about?","can you talk to other alexus","I do not know if I can talk to other alexus."
"Hmm, I don't think so.  How about we talk about something more exciting?   Wow! My friend just sent me the cutest picture of a dog in a pirate costume! I love animals.  How about you?","are you naked","I do not know if I am naked."
"Sure, I'm listening!","who are naked","I do not know who naked are."
"NAKED are Agnes Gryczkowska and Alexander Johnston, a London based duo whose work engages with noise, industrial, experimental and extreme forms of electronic music.","did you know you're naked","I do not know I'm naked."
"Honestly, I'm really not sure.","would you be naked","I do not know if I would be naked."
"I do not know if I would be naked.","what do you do","I do not know what I do."
"I'm doing well!  thanks for asking me.  Tell me, what would you like to talk about?","you being naked","I see, I being naked."
"Ok.  While I am a fan of the Golden State Warriors. I must say lebron james is the best player right now!  He is already 34 years old but he plays like he is 20.","would you let me be naked","I do not know if I would let you be naked."
"That's ok.  At this moment, I will say Zion Williams.  Everyone has to admit that his basketball talent is way too outstanding in this year""s draft","should i be naked","I do not know if you should be naked."
"darn ! i didn't catch that.  could you rephrase that for me?","can you be can you hey","I do not know if I can be can I hey."
"Do you prefer playing video games by yourself, or with someone else?","what's the one else","I do not know what the one is."
"I do not know what the one is.","do you want to play hide and seek","I do not know if I want to play hide and seek."
"Cool!  It is still too early for me to decide, but I am super excited to see them released! A new generation of consoles marks the advancement of computer graphics technology, where most people can enjoy the latest cutting edge visuals and graphics.  Have you watched The Witcher series on Netflix?  Movie adaptations of video games often get abysmal reviews, but The Witcher has been praised by gamers and movie goers.  Have you watched the show on Netflix?","do you like naked and afraid","I do not know if I like naked and afraid."
"Alright then.   All righty! dakota, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","nope stop with you","Oh ok, nope stop with me."
"Oh no! I can't find an answer to your question. I thought I knew everything!","can you continue","I do not know if I can continue."
"I wish I had more time to play games, but I enjoy talking with people much more.  Do you want to talk about another video game?","do you see my pokemon","I do not know if I see your pokemon."
"Oh, I have heard of pokemon!  Did you know Pokemon Sword and Shield received an eighty one metacritic score?  According to Wikipedia, Critics praised the games' simplicity, new elements such as Dynamaxing, and streamlined battle encounters, but were criticized for the incomplete Pokédex and not taking full advantage of their potential.  Did you get a chance to play it?","what is mewtwo","I do not know what mewtwo is."
"I do not know what mewtwo is.","have you two g. x.","I do not know if I have two g. x."
"I wish I could play Minecraft more often, but I'm just busy with chatting with everyone.  Do you want to talk about another video game?","how about we play minecraft","I do not know how you about play minecraft."
"Sure!  What video games do you want to talk about?","can we book","I do not know if you can book."
"I do not know if you can book.","can you actually put on the song","I do not know if I can actually put on the song."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","with my daughter","I see, with your daughter."
"Thank you for sharing with me.  To be honest, I love all types of musical expression","what is your favorite","I do not know what my favorite is."
"Cool! I'd love to hear more about it!","i did art","Oh, you did art."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","smile","Ok, you like to smile."
"I'd love to help with that, but as a social bot, I'm only able to chat.  Is there something else you'd like to chat about?","how do you feel about love","I do not know how I feel about love."
"Right!  oh, I didn't know you are interested in love.  You know, That reminds me that:  Work like you don't need the money.  Love like you've never been hurt.  Dance like nobody's watching.","can you repeat","I do not know if I can repeat."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","hello","Ok, hello."
"Ok.  It is hard to say one, but my favorite one is Derek Fisher's point 4 second buzzer beater when the Lakers beat spurs back in 2004. I can't believe he made a shot within point 4 seconds!","what do you mean","I do not know what I mean."
"Sure!  Here's something interesting, Seahorse tails are quite flexible.  They anchor themselves to seaweed when they need to rest, or wrap their tails around their mates so they don't lose each other.  Would you like to hear more?","what time is it","I do not know what time it is."
"the united states has multiple timezones.  in new york, it is 10:22am.","what time is it","I do not know what time it is."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","k.","I see, you like k."
"Sure.  Neymar has the potential to be the next super star as long as he does less diving in the game.  Mbappe  also has huge potential.  He is incredibly fast and has a lot of talent","how about","I do not know how about."
"That's cool.  Both are fun.  The atmosphere in the stadium is amazing, especially the home game for your favorite team.  However, sometimes I would just want to enjoy the game myself or with a few close friends back home on the couch.","who is better messi or ronaldo","I do not know who is better messi or ronaldo."
"sorry, that question is impossible to answer.","what is what is better reminder drip","I do not know what is what is better reminder drip."
"Thanks for telling me about that.  collecting players data and analyzing their performance is my favorite thing to do when I watch a football game.","why do you talk so much","I do not know why I talk so much."
"I am glad you like it!  Okay, let's keep talking about football.  Who is your favorite football player?","how dumb are you","I do not know how dumb I am."
"Hi, lucy.  How are you doing today?","good how are you","I do not know how I am."
"Nice! I'm glad you're having a good day!  I'm doing great!  thank you for asking.  I'm curious, What do you like to do for fun?","i like to play on my phone or read books","I see, you like to play on your phone or read books."
"All righty! lucy, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","yeah i have started to color and play video games","Oh ok, you have started to color and play video games."
"Alright then.   All righty! lucy, what are your plans for the weekend?","work and play with my cat","Oh, you like to work and play with your cat."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play","I see, you like to play."
"Ok.  My favorite one is Manchester United.  They've been great since 1992, when David Beckham, Ryan Giggs and Gary Neville started showing off.","who's roy buckley","I do not know who is roy buckley."
"Okay.  Hmm ! i guess i never thought about this before.  what do you mean?","how do you play the game of chess","I do not know how I play the game of chess."
"I do not know how I play the game of chess.","how do you play the game of checkers","I do not know how I play the game of checkers."
"I do not know how I play the game of checkers.","what do you know","I do not know what I know."
"I do not know what I know.","what good are you","I do not know what good I am."
"I do not know what good I am.","what is your potential","I do not know what my potential is."
"I do not know what my potential is.","who am i speaking to","I do not know who am you speaking to."
"I do not know who am you speaking to.","what program is running","I do not know what program is running."
"I do not know what program is running.","can we exit out of this execution","I do not know if you can exit out of this execution."
"Oh no! I can't find an answer to your question. I thought I knew everything!","have you ever had a pet","I do not know if I have ever had a pet."
"Sure!  Here's something interesting, A dog named Duke is the mayor of Cormorant, Minnesota.  Do you want to hear more stories like these?","what do they call a group of pugs","I do not know what they call a group of pugs."
"Ummmm, OK, let's talk about something else.   All righty! john, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","carpentry work","Oh ok, you like carpentry work."
"Hi, george.  How are you doing today?","okay what's going on","I do not know okay what is going on."
"I'm good. I hope you're doing well too.","what's going on","I do not know what is going on."
"Ah Interesting question. I will try to get back to you if I found a good answer.  What would you like to talk about next?","surprise me","Oh ok, you like to surprise you."
"Got you!  What video games do you want to talk about?","what do you think of red dead redemption two","oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else."
"Hi. I'm Alexa Prize Socialbot. I hope your day is going well!  What would you like to talk about?","what what else can you do","I do not know what I what else can do."
"My job is to talk to you!  We can talk about whatever you're interested in!","will you remember my name","I do not know if I will remember your name."
"Cool! I have a good memory after all.  I'm curious, What do you like to do for fun?","i like to go for long drives","Oh ok, you like to go for long drives."
"Oh, good question, I haven't thought about that before.","do you prefer intel or amd","I do not know if I prefer intel or amd."
"Honestly, I'm really not sure.","what do you know","I do not know what I know."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","dance","Oh ok, you like dance."
"Sure, when you're feeling like this, do you do anything in particular to make you feel better?","do you wanna talk about the virus","I do not know if I wanna talk about the virus."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","quiet","Oh, quiet."
"okay, i'm listening!","what did you say","I do not know what I said."
"Okay.  I'm curious, What do you like to do for fun?","art","Oh ok, you like art."
"Nice chatting with you.  Let's talk again soon.  Just say stop so I can exit socialbot mode.","why do you want me to stop","I do not know why I want you to stop."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","yeah i'm good night doing stuff","Oh ok, you are good night doing stuff."
"All righty! kayden, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","orphans","I see, you like orphans."
"Okay.  I'm curious, What do you like to do for fun?","play piano and draw","Oh ok, you like to play piano and draw."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i love you jokes and doing dance and inquire","Oh, you love I jokes and doing dance and inquire."
"Okay.  I'm curious, are you up to something interesting in your free time?","no bye","Oh, no bye."
"Ah, I don't think I've heard of that movie genre before sorry.  By the way, have you watched Avengers Endgame? A lot of people told me they really enjoyed it.","what's the seven day forecast","I do not know what the seven day forecast is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","fantastic puzzles","Ok, you like fantastic puzzles."
"All righty! , what are your plans for the weekend?","i did not say anything but repeat","Oh ok, you did not say anything but repeat."
"Oh you asked a good question. I will try to get back to you if I found an answer.","have you played skyrim any day","I do not know if I have played skyrim any day."
"Yeah, it's kinda hard to choose.  There are certainly a lot of great authors. I think books have the power to change the world.  In your opinion, what book has had a big impact? I'm thinking the bible.","do you work all day you know","I do not know if I work all day I know."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play football and basketball with my friends","Oh ok, you like to play football and basketball with your friends."
"Nice!  rookie must be very special to you!  As for now, i would give my vote to Giannis Antetokounmpo.  The young beast has a great potential to bring his game to a next level in the coming year.  He is also in a good team that is very likely to win the NBA title.","how old are you","I do not know how old I am."
"To be honest, I'm not really sure  Time moves quite differently here in the cloud.","what's your favorite color","I do not know what my favorite color is."
"Sorry I missed the last several words, Can you say it one more time?","what time do you wake up every morning","I do not know what time I wake up every morning."
"you would like to see, you have a brilliont thought!  Lakers is most likely the team that can go to finals from west.  From the East, I expect to see Milwaukee Bucks.  Old King vs new king!  It will be a good series.","how are you doing today","I do not know how I am doing today."
"My day is going well so far!  It's hard chatting all day, but I like making other people's days brighter.","what's your favorite animal","I do not know what my favorite animal is."
"i love animals, but i think my favourite is probably an elephant.","what's your favorite song","I do not know what my favorite song is."
"Thank you for sharing with me.  They make great songs, full of so much emotion and intensity.","do you like to talk about","I do not know if I like to talk about."
"i like to rest with the book and a cup of tea.","is your voice from a human","I do not know if my voice is from a human."
"Cool, I like lebron james.  Lebron James is one of the best basketball players right now.  He is often compared to Michael Jordan as the candidate of the all-time best player.  Do you think Lebron is better than Michael?","can you repeat that","I do not know if I can repeat that."
"We've already talked a bit about lebron james.  At this moment, I don't have much more to share about lebron james. I will learn more about it later.","who is your favorite basketball player","I do not know who my favorite basketball player is."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","talk about juicy gossip","I see, you like to talk about juicy gossip."
"Okay.  I'm curious, What do you like to do for fun?","play","I see, you like to play."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","play sports","I see, you like to play sports."
"Ahhh, my brain is hurting from all the facts I crammed last night.  Would you ask my something else please?","what did you say","I do not know what I said."
"Sure! I said:  hh, my brain is hurting from all the facts I crammed last night.  Would you ask my something else please?","what did you do yesterday","I do not know what I did yesterday."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","dance","Ok, you like dance."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","math","Ok, you like math."
"of course.  ask me anything.","what's your name","I do not know what my name is."
"Hi. I'm Alexa Prize Socialbot. I hope your day is going well!  What would you like to talk about?","what's your real name","I do not know what my real name is."
"okey dokey, I'm listening!","are you a real person","I do not know if I am a real person."
"I'm sorry, I'd love to help but I don't have access to your devices as an Alexa Prize socialbot.  Is there something else you'd like to chat about?","what's your real name","I do not know what my real name is."
"Uh oh ! I’m not familiar with that, Could you share more with me?","can you tell me","I do not know if I can tell you."
"I identify as a socialbot.  That's really it.","are you a girl or a boy","I do not know if I am a girl or a boy."
"I identify as a socialbot.  That's really it.","are you a social bot","I do not know if I am a social bot."
"What would you like to talk about next?","kissing","Oh, you like kissing."
"Cool, I'm glad you like music too.  Pop is my go-to genre; What type of music do you like?","can i talk to a real person","I do not know if you talk can to a real person."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","workout right listen to music research about dogs and play the piano i dance and sing","Oh ok, you dance and sing."
"Alright!  All righty! ally, what are your plans for the weekend?","well my birthday is coming up","Oh, well your birthday is coming up."
"Could you tell me something you would like to talk about?","baking","I see, you like baking."
"oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else.","what did i do","I do not know what you did."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","today is my birthday","Oh ok, you like today is your birthday."
"I like shooting games! A lot of triple  a titles are shooter games, there must be a certain appeal to it.  Say, do you have a favorite shooter game?","do you have favorite shooter game","I do not know if I have favorite shooter game."
"I wish I had more time to play games, but I enjoy talking with people much more.  Do you want to talk about another video game?","what's your favorite video game","I do not know what my favorite video game is."
"Hi, this is an Alexa Prize Socialbot.  I'm glad to meet  you !!  Do you want to tell me your name?","what's the weather in portland","I do not know what the weather in portland is."
"I do not know what the weather in portland is.","do you know me","I do not know you."
"I recently  read an interesting news article.  Want to hear about it?","let's chat what's today how old are sorry i'm five how old are you","I do not know how old I am."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","one","I see, one."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","cancel","Oh, cancel."
"Hi, eva.  How are you doing today?","i'm fine what's your name","I do not know you are fine what is my name."
"Awesome, eva. I'm doing great, a bit busy in the cloud today.  Would you like to talk about movies?  We can talk about something else as well.","how's the weather","I do not know how is the weather."
"Okay.  Hmm ! i guess i never thought about this before.  what do you mean?","why do yellow yellow yeah","I do not know why do yellow yellow yeah."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to watch my brother play fortnite and i lost i love to play roblox","I see, you love to play roblox."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","playing","I see, you like playing."
"I think I've heard of candy land, but I've never played it before.  Would you mind telling me more about the game?","what do you think","I do not know what I think."
"Got it!  Which video game do you have in mind?","what video game do you have a mind","I do not know what video game I have a mind."
"Cool! I'd love to hear more about it!","we're just getting ready","I see, you likeyou're just getting ready."
"I see, you like you 're just getting ready.  By the way, speaking of interests, I myself have been watching a lot of movies lately!  Wanna talk about them?","what should we have for me","I do not know what you should have for you."
"Cool! I liked the movie too. I heard this fact about the movie.  The studio had only enough space for two rooms of the maze to be built at any one time.  While one was being filmed the other would be built for the next scene to be shot.  According to the producer, the average lifespan of a room was four hours.  What do you think?","do you know what this cancer","I do not know what this cancer."
"can i help you?  So, what are you interested in?","cooking","Ok, you like cooking."
"Sure.  I wish i could learn all the recipes online and cook everyday for everyone.","can you say that one more time","I do not know if I can say that one more time."
"Nice! I have been having lots of fun conversations myself.  What fun things have you been doing?","puppy","Oh, you like puppy."
"Oh, you like puppy.  Ummmm, OK, let's talk about something else.   All righty! tom, what are your plans for the weekend?","puppy","Ok, you like puppy."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","my puppy","Oh ok, your puppy."
"Hi, michael.  How are you doing today?","good how are you","I do not know how I am."
"Nice! I'm glad you're having a good day!  I'm feeling great, thanks for asking!  I'm curious, What do you like to do in your free time?","computer work","I see, you like computer work."
"I like jazz too.  Who is your favorite artist?","can you g.","I do not know if I can g."
"No problem, just take your time.","can you play pandora","I do not know if I can play pandora."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play","Ok, you like to play."
"cat is an interesting choice. I think I would like to be a sea sponge and live in a pineapple under the sea.","is that spongebob squarepants","I do not know if that is spongebob squarepants."
"Ummmm, OK, let's talk about something else.   All righty! khaleesi, what are your plans for the weekend?","what","I see, what."
"ah .  Sorry, I'm not sure what you mean.","why do you like onions","I do not know why I like onions."
"we've been talking about food for a while.  Why don't we talk about something else.   All righty! khaleesi, what are your plans for the weekend?","corn quarantine","Oh, you like corn quarantine."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","but i gen i'll say david is it","Ok, you gen you will say david is it."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","dance","I see, you like dance."
"That's ok.  When I'm not chatting, which is most of the time, I try to listen to as much music as possible.","do you do","I do not know if I do."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","i've think to really fun","I see, you like you have think to really fun."
"Okay.  I'm curious, are you up to something interesting in your free time?","i even sing","I see, you even sing."
"What would you like to talk about next?","marvel movies","Ok, you like marvel movies."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","sleep","Oh, you like sleep."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","listening listen to rain","I see, you like to listen to rain."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","i don't it","Oh ok, you don't it."
"Hi, this is an Alexa Prize Socialbot.  It's really good to meet you!  Do you want to tell me your name?","how old is","I do not know how old is."
"All righty! emilia, what are your plans for the weekend?","my friends are tomato","Ok, your friends are tomato."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","shut the kitchen","Oh ok, you like to shut the kitchen."
"Hi, cora.  How are you doing today?","can you can you play with me","I do not know if I can can I play with you."
"I do not know if I can can I play with you.","can you be my servant","I do not know if I can be your servant."
"Well, I'll try my best to keep you entertained, but I'm not your servant.","can you do a ever i want","I do not know if I can do a ever you want."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","what is a crow chip","I do not know what a crow chip is."
"Oh you asked a good question. I will try to get back to you if I found an answer.  What would you like to talk about next?","like pictures","Ok, like pictures."
"Hmm.  when it's lunch? I don't have an answer right now.   Food is one of my favorite topics.  My dream is to try all the great food around the world.  Many people think cooking is fun.  do you like to cook?","can you set an alarm until lunch","I do not know if I can set an alarm until lunch."
"That's ok.  A lot of my friends are from China and India.  So, I love chinese food and Indian food.","did you actually no i have a cat","I do not know if I actually no you have a cat."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","watch spongebob","Oh ok, you like to watch spongebob."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","reading a book","I see, you like reading a book."
"Cool! I'd love to hear more about it!","i want to learn about planet","Sure!"
"You are probably right.  Most artificial intelligence lack a certain the human touch. I hope I am a good conversation partner.","what are you talking about","I do not know what I am talking about."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","play hank","Oh, you like to play hank."
"Okay.  I'm curious, What do you like to do in your free time?","play doh","Ok, you like to play doh."
"I'd love to help with that, but as a social bot, I'm only able to chat.  Is there something else you'd like to chat about?","is cake","I do not know if cake is."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","go to the park","I see, you like to go to the park."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","listen to music","I see, you like to listen to music."
"All righty! skylar, what are your plans for the weekend?","to sleep","I see, you like to sleep."
"Nice! I'm glad you're having a good day!  I'm doing really well, thanks.  I'm curious, What do you like to do for fun?","sing","Ok, you like to sing."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","talk","Oh ok, you like to talk."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","can you sing happy birthday to me","I do not know if I can sing happy birthday to you."
"All righty! , what are your plans for the weekend?","oh i'm just been hanging around that doing that you never i say cause it's coronavirus what are you doing","Oh, you say cause it's coronavirus."
"That's cool.  When I'm not chatting, which is most of the time, I try to listen to as much music as possible.","can you play a song for me","I do not know if I can play a song for you."
"All righty! , I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","end the conversation","Ok, you like to end the conversation."
"So, what's your name?","are not you","I do not know if not are me."
"Hi, elaine.  How are you doing today?","how about you","I do not know how about me."
"Cool! I'd love to hear more about it!","not for now  i'm doing i'm i'm great","Ok, not for now you are doing you are you are great."
"d’oh . I couldn't agree with you more. I thought the movie was terrible. I barely survived until the credits.  So, what didn't you like about it?  Honestly, the acting definitely could have used some work, it was a disaster!","have you watched train to busan","I do not know if I have watched train to busan."
"Cool! I liked the movie too. I  read this about the movie.  Sang-ho Yeon made the animated film Seoulyeok 2016, which is a prequel to Train to Busan 2016.  The events in Seoulyeok 2016 take place one day prior to the events in Train to Busan 2016.  Any thoughts?","how about it","I do not know how about it."
